Название вакансии,Оклад,URL,Название компании,Метро,Описание
"Старший Back-end Developer (Python, Django)\middle Back-end Developer",от 150 000 руб.,https://hh.ru/vacancy/35493930?query=python,ООО Верме,,"Основной сервис планирования: клиент - самописный MVC-подобный движок, отдельные компоненты на vue.js, графика на canvas, сервер - Django, Python, PostgreSQL.  Коммуникабельность, ответственность, умение работать в команде. Опыт разработки или желание развиваться в области создания высоконагруженных систем, работающих 24/7. "
"Full Stack Web Developer (Middle) Vue, Python",от 180 000 руб.,https://hh.ru/vacancy/35830432?query=python, SPN,,"Разработка нового модуля мультимедийной платформы доставки контента в замкнутых сетях. Программирование и покрытие кода тестами. Отличные знание Vue/Nuxt (Vuex, Vue-route, vue-cli). Опыт программирования на Python3 (django/eve), asyncio, webpack, websocket, REST..."
Senior Python developer,,https://hh.ru/vacancy/35242226?query=python, Руформ,,"Написание high-load сервисов на Go и Python. Проектирование устойчивой масштабируемой архитектуры. Оптимизация и качественные улучшение бек-энд кода.  Опыт разработки высоконагруженных web-проектов на python от 2х лет. Опыт работы с Django, Django Rest Framework, Celery. "
Python Developer (ML),,https://hh.ru/vacancy/31415429?query=python, ЦИАН ГРУПП,,"Рекомендательные сервисы. Ранжирование. Антифрод (автоматический контроль качества объявлений, обнаружение фейковых объявлений, ботов в масштабе всей страны, учитывая особенности каждого региона).  Опыт коммерческой разработки на Python от 3 лет. Знание паттернов проектирования. Знание очередей сообщений (Rabbit/Kafka). Знание SQL и опыт..."
Python Developer for Imunify Security - Backend [Remote],,https://hh.ru/vacancy/35680657?query=python, Cloud Linux,,"Imunify360 is an innovative security solution, powered by Artificial Intelligence for Linux web-servers. It is designed specifically for... Basic algorithms and data structures. Good knowledge of Python. Asyncio. Shell (bash). Linux. The ability to read and write in..."
Python developer,,https://hh.ru/vacancy/35031375?query=python, START.RU,,"Реализовывать попутно большое количество интересных задач (от небольших фич, написания микросервисов до глобальных и стратегических задач). Стек: MongoDB, Python +Flask... Опыт от 2х лет в коммерческой разработке. Хорошее знание Python. Хорошее знание NoSQL: опыт написания аналитических запросов, процедур и..."
Разработчик Python/Django в Сочи,от 100 000 руб.,https://hh.ru/vacancy/35827320?query=python,ООО Колл-Тулз,,"Разработка back-end части (в основном). Опыт разработки на Python. Базовые знания Linux. Понимание, как писать оптимальные запросы к БД. JQuery. Желание учиться и развиваться. "
Angular / Python / .NET Developer,,https://hh.ru/vacancy/35727992?query=python, Vetpal,, You are required to have proficient experience using Angular / Python and .NET Core and experience using Ubuntu and MySQL. Preferred. * 
"Senior Python Developer (Payment Systems), Cyprus, Limassol",,https://hh.ru/vacancy/35838295?query=python, Exness,,You believe in code reviews and automated testing as a core part of writing great software. Over 5 years of professional software development experience with Python. Strong PEP8 following and understanding why it is meaningful. 
Middle/Senior  Python-разработчик,60 000-120 000 руб.,https://hh.ru/vacancy/35572217?query=python,ООО ИДАГРУПП,,"Разработка API. Интеграция сторонних сервисов. Участие в полном цикле разработки - проектирование, программирование, тестирование, поддержка. Контролирование качества кода. Администрирование серверов.  Уверенное знание python3. Знание сетевых протоколов HTTP, WebSocket. Продвинутое знание Django (Django REST Framework). Знание SQL, опыт работы с..."
Разработчик Python (Senior/Middle),,https://hh.ru/vacancy/35993486?query=python,АО РФИ БАНК,,"следование pep8. опыт использования flask, django + ORM. - понимание протокола http, опыт проектирования REST API. - знание классических алгоритмов и структур данных. - "
Full Stack разработчик (Python),,https://hh.ru/vacancy/32871687?query=python, ТЕХНОСЕРВ,,"Написание unit tests. Выполнение code- и архитектурных review. Техническая документация. Профессиональный уровень владения Python 2 или 3 (от 3 лет, PEP8, SOLID, понимание внутренностей Python). Опыт использования одного из..."
Senior Backend разработчик (Python),,https://hh.ru/vacancy/35870736?query=python, QIWI,,"Разработка внутренних информационных систем. Автоматизация текущих бизнес-процессов. Опыт промышленной разработки на Python 3 от 2-х лет. Знание экосистемы языка, pythonic code. Хорошее знание общих вопросов программирования..."
QA automation engineer (Python),,https://hh.ru/vacancy/35900613?query=python, Леруа Мерлен. Центральный офис,,Конфигурировать тестовое окружение. Писать тесты (в том числе unit-tests) на Python. Запускать тесты для фронта с использованием Selenium (Selenide).  Понимание процессов разработки программного обеспечения. Опыт автоматизации тестирования микросервисов. Умение проводить нагрузочное тестирование. Опыт участия в проектах с Agile-методологиями.
Python Developer (Data platform),,https://hh.ru/vacancy/34978840?query=python, ЦИАН ГРУПП,,"Умные коммуникации с пользователями. Проведение, валидация и оценка АБ-экспериментов. Сервисы предоставления обобщённой статистики по объявлениям пользователя. Распознавание речи.  Опыт коммерческой разработки на Python от 3 лет. Знание паттернов проектирования. Знание очередей сообщений (Rabbit/Kafka). Знание SQL и опыт..."
Эксперт по автоматизированному тестированию (Python),,https://hh.ru/vacancy/34792727?query=python, Почта Банк,,Активно участвовать в работе scrum-команды. Разрабатывать решений для автоматизированного тестирования на Python (for API/Web/mobile). Проводить автоматизированное Тестирование.  Опыт разработки автоматизированных тестов на Python. Знание SQL. Опыт работы с системами CI. Понимание жизненного цикла разработки программного обеспечения. 
Full stack разработчик Python/Golang,,https://hh.ru/vacancy/35988821?query=python, The Skolkovo Institute of Science and Technology,,"Full-stack разработка высоконагруженного сервиса сбора данных о пользователях беспроводных сетей, включая систему BI-аналитики. Обработка и визуализация данных на... Опыт промышленной разработки на одном или нескольких языках: Python, GoLang , PHP. Практика разработки с использованием web-фреймворков (Django, aioHTTP, Gin..."
Разработчик Python (инженер данных),,https://hh.ru/vacancy/35780556?query=python, MERLION,,"Разрабатывать ETL/ELT трансформации, разрабатывать модули для Airflow и инструменты для внутренней автоматизации задач DWH. Теоретические знания алгоритмов и структур данных. Опыт от года с Питон 3.*. Как минимум теоретические знания Airflow. Опыт работы с..."
Преподаватель информатики на языке Python,от 70 000 руб.,https://hh.ru/vacancy/36044700?query=python, Кафедра Инновационное предпринимательство МГТУ им. Н.Э. Баумана,,"Проведение лекций, семинарских занятий и лабораторных работ на языке Python. Проведение занятий по дисциплине ""ERP - системы управления"". Высшее техническое образование (специалитет или магистратура). Желателен опыт работы преподавателем в ВУЗе. Наличие ученой степени приветствуется."
Full-stack developer (Python/Angular),140 000-220 000 руб.,https://hh.ru/vacancy/36030741?query=python,ООО HR-PROFI,,"Разработка новых и доработка существующих в компании Информационных Систем различной направленности. Участие в проектировании архитектуры, новых модулей и программных компонент... Backend: Отличное знание Python 3.8. Опыт разработки с Django 3.0 с использованием Django REST Framework, Dramatiq, OAuth2. "
TeamLead (Python),,https://hh.ru/vacancy/34697882?query=python,АО РТИ,,"Участие в планировании и проектировании задач. Разработка клиентской части web-приложений на языке Python. Проведение code review. Написание UNIT и... Навыки программирования (ООП, паттерны, чистый код). Владение инструментами совместной разработки и сборки ПО (Jira, Confluence, GitLab). Понимание принципов работы реляционных..."
QA automation engineer / QA автоматизатор тестирования (Java/Python),,https://hh.ru/vacancy/34195407?query=python,ООО Финансовые технологии,,"Автоматизация тестирования на Java/Python. Анализ результатов тестов - надо понимать, что не понравилось автотестам. Опыт тестирования web-проектов от 1 года. Опыт работы с XML/JSON. Понимание принципов тестирования. Опыт автоматизации от 0.5..."
Ведущий разработчик Python,,https://hh.ru/vacancy/30567902?query=python,ООО Строительный Двор,,Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сайтов. Разработка концепции развития веб... Опыт разработки на языке программирования PYTHON от 4+ лет. Практический опыт работы с операционными системами семейства *nix. 
Python программист (middle),150 000-200 000 руб.,https://hh.ru/vacancy/30567921?query=python,ООО Строительный Двор,,Качественное и своевременное исполнение задач web-проекта и непосредственного руководителя. Поддержка и доработка уже существующих сервисов. Разработка архитектуры проектов.  Опыт работы от 2+ года в разработке на Python. Практический опыт работы с операционными системами семейства *nix. 
Python Developer (AI),,https://hh.ru/vacancy/35276769?query=python,"ПАО «МТС»,IT",," Работает с серверными языками программирования (работает на Python-Django/Flask, но знаком и с другими языками, например nodejs/java/php/...). "
Python developer,,https://hh.ru/vacancy/35403017?query=python,АО РТСофт,,"Проектирование и разработка веб-приложений на Python. Покрытие кода юнит-тестами. Участие в процессах непрерывной интеграции и сборки программных компонентов... Опыт разработки проектов с использованием Django (REST API). Понимание объектно-ориентированного программирования. Знание SQL, опыт работы с одной из наиболее..."
Senior Python developer,,https://hh.ru/vacancy/35402996?query=python,АО РТСофт,,"Руководство командой разработки. Проектирование и разработка веб-приложений на Python. Покрытие кода юнит-тестами. Участие в процессах непрерывной интеграции и... Опыт разработки проектов с использованием Django (REST API). Понимание объектно-ориентированного программирования. Знание SQL, опыт работы с одной из наиболее..."
